,,前の日,次の日,増減,,,,,,,,,,,
1994/6/19,チョキ,21503.3,21152.03,?351.3,,,,,,,,,,,
1994/6/26,グー,20766.75,20300.96,?465.8,,,,,,,,,,,
1994/7/3,パー,20543.41,20631.93,＋88.5,,,,,,,,,,,
1994/7/10,チョキ,20526.51,20473.09,?53.4,,,,,,,,,,,
1994/7/17,チョキ,20770.15,20717.64,?52.5,,,,,,,,,,,
1994/7/31,パー,20449.39,20271.35,?178.0,,,,,,,,,,,
1994/8/7,グー,20521.7,20635.83,＋114.1,,,,,,,,,,,
1994/8/14,グー,20663.83,20626.33,?37.5,,,,,,,,,,,
1994/8/21,チョキ,20512.7,20394.58,?118.1,,,,,,,,,,,
1994/8/28,パー,20471.49,20600.42,＋128.9,,,,,,,,,,,
1994/9/4,グー,20653.83,20409.18,?244.7,,,,,,,,,,,
1994/9/11,パー,19897.88,19917.28,＋19.4,,,,,,,,,,,
1994/9/18,チョキ,19796.26,19554.11,?242.1,,,,,,,,,,,
1994/9/25,グー,19833.67,19814.36,?19.3,,,,,,,,,,,
1994/10/2,グー,19563.81,19650.03,＋86.2,,,,,,,,,,,
1994/10/9,パー,19744.75,19821.46,＋76.7,,,,,,,,,,,
1994/10/23,パー,19899.08,19852.37,?46.7,,,,,,,,,,,
1994/10/30,チョキ,19805.16,19989.6,＋184.4,,,,,,,,,,,
1994/11/6,グー,19811.56,19619.22,?192.3,,,,,,,,,,,
1994/11/13,チョキ,19284.36,19261.45,?22.9,,,,,,,,,,,
1994/11/20,パー,19302.56,19121.72,?180.8,,,,,,,,,,,
1994/11/27,チョキ,18666.93,18811.36,＋144.4,,,,,,,,,,,
1994/12/4,グー,18998.3,19305.66,＋307.4,,,,,,,,,,,
1994/12/11,パー,18978.3,18975.1,?3.2,,,,,,,,,,,
1994/12/18,グー,19163.43,19270.85,＋107.4,,,,,,,,,,,
1994/12/25,パー,19633.53,19726.75,＋93.2,,,,,,,,,,,
1995/1/8,チョキ,19519.46,19444.92,?74.5,,,,,,,,,,,
1995/1/15,グー,19331.17,19241.32,?89.8,,,,,,,,,,,
1995/1/22,パー,18840.22,17785.49,?1054.7,,,,,,,,,,,
1995/1/29,グー,18104.35,18752.88,＋648.5,,,,,,,,,,,
1995/2/5,チョキ,18538.97,18667.23,＋128.3,,,,,,,,,,,
1995/2/12,チョキ,18291.35,18313.86,＋22.5,,,,,,,,,,,
1995/2/19,パー,18020.51,17956.48,?64.0,,,,,,,,,,,
1995/2/26,チョキ,17472.94,16808.7,?664.2,,,,,,,,,,,
1995/3/5,グー,17039.62,17040.72,＋1.1,,,,,,,,,,,
1995/3/12,パー,16358.38,16477.64,＋119.3,,,,,,,,,,,
1995/3/19,パー,16251.23,16129.96,?121.3,,,,,,,,,,,
1995/3/26,チョキ,15749.77,16096.25,＋346.5,,,,,,,,,,,
1995/4/2,グー,16139.95,15381.29,?758.7,,,,,,,,,,,
1995/4/9,パー,15719.5,16163.09,＋443.6,,,,,,,,,,,
1995/4/16,チョキ,16047.89,16304.15,＋256.3,,,,,,,,,,,
1995/4/23,グー,16968.24,16804.05,?164.2,,,,,,,,,,,
1995/4/30,チョキ,16806.75,16811.46,＋4.7,,,,,,,,,,,
1995/5/7,パー,17088.66,17103.69,＋15.0,,,,,,,,,,,
1995/5/14,パー,16420.79,16609.7,＋188.9,,,,,,,,,,,
1995/5/21,チョキ,16140.85,15789.12,?351.7,,,,,,,,,,,
1995/5/28,グー,15694.25,15574.03,?120.2,,,,,,,,,,,
1995/6/4,グー,15849.13,15897.32,＋48.2,,,,,,,,,,,
1995/6/11,チョキ,15044.18,14813.46,?230.7,,,,,,,,,,,
1995/6/18,パー,14703.17,14700.06,?3.1,,,,,,,,,,,
1995/6/25,チョキ,15265.18,15145.36,?119.8,,,,,,,,,,,
1995/7/2,グー,14517.4,14485.41,?32.0,,,,,,,,,,,
1995/7/9,パー,16213.08,16242.66,＋29.6,,,,,,,,,,,
1995/7/16,パー,16517.7,16842.47,＋324.8,,,,,,,,,,,
1995/7/23,グー,16589.09,16591.5,＋2.4,,,,,,,,,,,
1995/7/30,チョキ,16649.45,16677.53,＋28.1,,,,,,,,,,,
1995/8/6,チョキ,16741.2,16615.46,?125.7,,,,,,,,,,,
1995/8/13,グー,16792.34,16916.57,＋124.2,,,,,,,,,,,
1995/8/20,パー,18032.49,17871.05,?161.4,,,,,,,,,,,
1995/8/27,チョキ,17770.68,17847.29,＋76.6,,,,,,,,,,,
1995/9/3,パー,18120.73,17748.52,?372.2,,,,,,,,,,,
1995/9/10,パー,18279.55,18486.11,＋206.6,,,,,,,,,,,
1995/9/17,グー,18758.55,18319.16,?439.4,,,,,,,,,,,
1995/9/24,チョキ,17713.93,17566.43,?147.5,,,,,,,,,,,
1995/10/1,チョキ,17913.06,17739.84,?173.2,,,,,,,,,,,
1995/10/8,パー,18506.28,18176.27,?330.0,,,,,,,,,,,
1995/10/15,グー,17880.83,18016.44,＋135.6,,,,,,,,,,,
1995/10/22,グー,18157.33,18156.24,?1.1,,,,,,,,,,,
1995/10/29,パー,17337.19,17509.17,＋172.0,,,,,,,,,,,
1995/11/5,チョキ,18028.8,18036.97,＋8.2,,,,,,,,,,,
1995/11/12,パー,17843.56,17789.46,?54.1,,,,,,,,,,,
1995/11/19,グー,18151.16,18383.82,＋232.7,,,,,,,,,,,
1995/11/26,チョキ,18215.23,18543.14,＋327.9,,,,,,,,,,,
1995/12/3,チョキ,18833.1,18897.37,＋64.3,,,,,,,,,,,
1995/12/10,グー,19286.97,19226.78,?60.2,,,,,,,,,,,
1995/12/17,パー,19346.55,19311.08,?35.5,,,,,,,,,,,
1995/12/24,チョキ,19744.42,19775.41,＋31.0,,,,,,,,,,,
1995/12/31,パー,19868.15,20618,＋749.8,,,,,,,,,,,
1996/1/7,チョキ,20669.03,20563.58,?105.4,,,,,,,,,,,
1996/1/14,グー,20287.42,20567.07,＋279.7,,,,,,,,,,,
1996/1/21,グー,20365.76,20196.53,?169.2,,,,,,,,,,,
1996/1/28,パー,20663.84,20589.2,?74.6,,,,,,,,,,,
1996/2/4,チョキ,20904.03,20653.38,?250.6,,,,,,,,,,,
